date,videoId,authorId,username,videoLink,contentDescription,hashtags,musicAuthorName,musicTitle,musicId,captions,code_1,fieldNote_1,code_2,fieldNote_2,code_3,fieldNote_3,code_4,fieldNote_4,code_5,fieldNote_5,category,need,fieldnote_need
2023-06-18,7246018704281062683,13708333,_toscanelucas,https://www.tiktok.com/@13708333/video/7246018704281062683,"A vlog in French documents the culinary experiences and accommodations in Bali, featuring a couple engaging in the consumption of various dishes such as hamburgers, salads and ice-creams throughout the video's duration, and showcasing beautiful touristic accomodations. No engagement with the local population or culture is shown.",#bali#travel#minivlog#traveltiktok#visitbali#gili#thingstodo#baliitinerary#foodie#foodporn#digitalnomad#localfood#indonesianfood#localfood#balinesefood#burger#burgertime#gnocchi#italianfood#burrata#pizza#pizzatime#icecream#sunset#giliair#gililagoon#giliairexperience#foodieparadise#culinarygetaway#tasteofbali,thewaywewantt,son original,7050547465157642241,,HE-CE,"The emphasis on food experiences aligns with the hedonistic aspect of tourist behavior, prioritizing pleasure and sensory gratification.",DR-VS,The focus on showcasing beautiful touristic accommodations and picturesque food presentations exemplifies how digital nomads use visual storytelling to create an appealing narrative of their travels,JN-TE,"While the vlog doesn't deeply engage with local culture, it still presents a form of transformative experience, albeit superficial. The couple's culinary exploration and enjoyment of tourist amenities represent a personal journey of discovery, even if limited to sensory pleasures.",DR-IE,"portrayal of an idyllic travel experience. By focusing on aesthetically pleasing food and accommodations, the content idealizes the digital nomad lifestyle, presenting a curated version of travel that emphasizes comfort and visual appeal over cultural immersion.",,,Tourist,Basic,"Hedonistic tourist behaviour with gastronomic experience in focus, highlighting basic needs of the tourist"
2023-06-25,7248724873521024302,7160173498869335086,kyleemckay1,https://www.tiktok.com/@7160173498869335086/video/7248724873521024302,"A photo log curated by a female vlogger features a series of tourists destinations within Mexico. This collection includes her personal recommendations, capturing the beauty and unique characteristics of each beachside location.




",#mexico🇲🇽 #mexicocheck #mexicotiktok #cabo #cancun #puertovallarta #cdmx #playadelcarmen #tulum #travel #travelrating #digitalnomad,yo,sonido original,7142169219956738050,,JN-EP,"Reflects the structure of the v-logger's content, showcasing multiple beach destinations in Mexico. The enhanced description emphasizes how this approach creates an engaging narrative that appeals to viewers' interest in diverse travel experiences",DR-VS,"Given that the content is a photo log, visual storytelling is a fundamental aspect. The enhanced description highlights how this technique creates an immersive and compelling narrative that can inspire viewers' travel aspirations",CA-TC,Essentially promotes Mexican tourist destinations. The enhanced description explains how the v-logger's recommendations and pros/cons discussions can influence viewers' travel decisions and impact local economies,SY-SL,"The Mexican beaches featured in the content serve as touristic symbols. The enhanced description elaborates on how these landscapes resonate with viewers' desires for ideal vacations, making the content more appealing.",TA-DI,"The enhanced description explains how the use of specific hashtags increases the content's visibility on platforms like TikTok, potentially leading to viral reaction.",Tourist,Esteem,"The content aligns with the tourist category, as it projects beaches and provide advices on touristic destinations typical for this category."
2023-12-04,7308687518856187178,6814855456721699845,bonniengaii,https://www.tiktok.com/@6814855456721699845/video/7308687518856187178,"A female v-logger is telling a story of her spenfing the first night of her backpacking trip sleeping in a hotel lobby after a 39 hour travel day, she is sleep deprived an wants to take a shower and laydown, but she has to wait until the hotel reception will open. Her friend arranged so that the key to her room would wait for her at the reception, but when she arrived there were no key. ",#travel #travellife #storytime #germany #traveltok #europetravel #europetok #seetheworld #travelstories #traveltips #travelinspo #vlog #digitalnomad #backpacking #hotellife,Bonnie Ngai,original sound,7257855821487622938,,JN-EP,"The vlogger's story captures a quintessential moment of travel unpredictability, documenting her challenging first night of backpacking. This code represents the sequential narrative of her journey, highlighting the raw, unfiltered progression of her travel experience. The 39-hour travel day and subsequent lobby wait epitomize the unpredictable nature of long-term travel, showing how digital nomads navigate unexpected obstacles",DR-VS,"The TikTok platform enables her to transform a potentially frustrating experience into an engaging narrative. By using visual elements and storytelling techniques, she converts a mundane travel mishap into an entertaining and relatable content piece. The visual medium allows her to communicate the emotional nuances of her experience, making her journey accessible and compelling to her audience.",TA-RL,"The chosen hashtags and storytelling style suggest a strong emphasis on creating content that resonates with fellow travelers. By sharing a universally understood travel mishap, she taps into a collective experience of backpackers and digital nomads. The relatability of her story transforms a personal anecdote into a shared narrative that connects her with a broader community of travelers who understand and empathize with such experiences.",ET-SD,"This code reflects the deeper psychological journey underlying her travel experience. Being stuck in a hotel lobby after an exhausting journey isn't just a logistical challenge, but an opportunity for introspection. Such moments of vulnerability and uncertainty are crucial in understanding oneself, testing personal limits, and developing a more profound understanding of individual capabilities and adaptability.",,,Tourist,Basic,The narrative directly addresses fundamental travel requirements - accommodation and basic comfort. Her struggle to find a place to rest after a long journey represents the most fundamental level of a tourist's needs
2023-07-19,7257514349927877896,7096911744619070465,shrugmyshoulder,https://www.tiktok.com/@7096911744619070465/video/7257514349927877896,"A couple vloggs their stay in South Korea, they discovered several key advantages, including affordable cell phone plans, ubiquitous internet access, and highly efficient transportation systems. These aspects significantly enhance  ease of living and traveling within the country, reflecting South Korea's advanced digital infrastructure and well-developed public transit network.",#singaporean #digitalnomad #shotoniphone #digitalnomadcouple #visitkorea #remotework #sgtravel #数码游民,Roh Young Sim,"Woo Young-woo, the Same Backwards and Forwards",7309151640119577387,"['5 things to know\nSOUTH KOREA'], ['5 things to know\nSOUTH KOREA']",JN-EP,Episodic Progress tracks the narrative progression of touristic experiences,ET-SD,Self-Discovery: Focuses on personal exploration. Could promote a self-centered worldview.,CA-TC,"Highlights practical aspects of living in South Korea that could be attractive to other travelers or digital nomads. While not explicitly promotional, the positive portrayal of South Korea's digital infrastructure serves as a form of indirect tourism promotion",SY-SL,Symbolic Landscapes (SY-SL) represents South Korea's urban and technological landscape through the lens of its digital infrastructure and transportation systems.,ET-PM,"The experience may also touch on Purpose and Meaning (ET-PM), particularly in relation to their identity as digital nomads and how the country's infrastructure supports their lifestyle.",Tourist,Safety,"The content describe the main tourist hacks, such as transportation, connectivity and food."
2023-08-21,7269709678928514305,7151682497272972314,eliasbcb_,https://www.tiktok.com/@7151682497272972314/video/7269709678928514305,"Vlog presenting a sequence of images showcasing Thailand, focusing on beachscapes, snorkeling activities, and scooter travel",#travel #traveltiktok #voyage #trip #photography #pourtoi #fy #fyp #backpacker #solo #nature #visit #backpacker #traveler #explore #travellife #traveltheworld #happiness #digitalnomad #summer,𝐼♛,son original,7055593201247193090,,JN-TE," The transformative aspect from the mundain life emerges through experiences like snorkeling, exploring beach landscapes, and independent scooter travel.",JN-EP,"The content reflects the narrative structure of the TikTok, through a series of connected yet distinct moments. Each scene - from beach vistas to underwater explorations - contributes to a larger storytelling arc that demonstrates the digital nomad's evolving journey.",DR-VS,"The powerful narrative conveyed through imagery, where each photograph and video clip communicates the essence of travel, freedom, and personal discovery.",,,,,Tourist,Esteem,"While the content has elements of a digital nomad lifestyle, the primary focus is on tourism and exploration rather than work or long-term migration."
2023-12-16,7312975977657666862,6685819687970980869,thomaslmanuel,https://www.tiktok.com/@6685819687970980869/video/7312975977657666862,"An American content creator analyzes the cost of living and culinary diversity in Bali versus Houston in US, emphasizing Bali's housing affordability and gastronomic experiences, starting with a distinctive visual introduction of females in bikini on a SUP board, moving to a swimming pool in the style designed and furnatured villa juctopposing it to the empty appartment for rent in US. He is walking in the grocery store discussing that he is not afraid being unalived by deadly weapon and do not need to explain anything else, because the visuals of grocery products in his cart are talking for themselfes. ",#bali #leavingamerica #livinginbali #travelbali #digitalnomad #expat #canggu #rentinbali #balivilla #balicost,L.Dre,Chillest in the Room,6787267480009050113,['Living In 🇮🇩 vs 🇺🇸 ✈️'],TA-DI,"Visual-aural primacy: Emphasizes visual/audio elements, may prioritize aesthetics over substance.",DR-VS,"The video leverages powerful visual contrasts between Bali's luxurious villa with a swimming pool and an empty US apartment, creating a compelling narrative about lifestyle transformation.",HE-SE,"By showcasing grocery store products and discussing food diversity, the content highlights the gastronomic appeal of living in Bali.",SY-SL,The video uses iconic visual elements like bikini-clad women on a SUP board and villa scenes to represent the digital nomad lifestyle.,DR-PCS,"The content strategically uses platform-specific techniques like creative language (""unalived"") and emoji to enhance engagement while avoiding content moderation.",Tourist,Basic,"The video's visual storytelling emphasizes momentary lifestyle contrast rather than deep cultural integration. The creator's casual comparison of Bali and Houston, punctuated by provocative imagery of luxury and affordability, suggests a performative exploration typical of the tourist experience as a temporary, experimental journey rather than a committed migration."
2023-12-04,7308809314607566123,6683978821923881989,isabellamjohn,https://www.tiktok.com/@6683978821923881989/video/7308809314607566123,"In a sequence of two images: one portrays a girl gazing directly at the camera, and the other captures a trio frolicking in the ocean at sunset. Accompanying text expresses a proficiency of using the TikTok trend to increase visibility. The content represents a TikTok trend ""Things I suffer from"" emerged on TikTok during 2023, where users share personal struggles in a candid and sometimes humorous way.  Video are constructed as photolog with the caption ""The things I suffer from"" and incorporates acronyms or abbreviated captions to describe various conditions or experiences. The trend is using the same sound ""Murder on the dancing floor"" with 123K videos, hashtags #traveltok #digitalnomad #remotework #travellife and caption that follows the grammar of the trend:",#traveltok #digitalnomad #remotework #travellife,Sophie Ellis-Bextor,Murder On The Dancefloor,7258033359098481450,[Things I suffer from] [c.t.t.c.m. f.t.l.t.c.w.m (constantly tryting to convince my friends to leave the country with me)],TA-DI,"The use of a popular trend to convey a message represents  a strategic approach to discoverability. The grammar of the ""Things I suffer from"" trend in combination with the hashtags like #traveltok, #digitalnomad, #remotework, and #travellife  increase the video's visibility within the TikTok ecosystem.",TA-RL,"The video leverages the ""Things I suffer from"" trend, which falls under the ""Relatability"" code in the ""Platform Affordances"" category1
. By participating in this trend and adapting it to the digital nomad context, the creator is tapping into a relatable format that resonates with TikTok users. This approach increases engagement and connection with the audience through a shared understanding of the platform's trends.",JN-TE,"The video's underlying message of encouraging friends to relocate abroad suggests a transformative experience for the creator. This aligns with the ""Journey Narratives"" category.",,,,,Tourist,Basic,"The imagery of people frolicking in the ocean at sunset aligns with the ""Basic"" and ""Social"" levels of the Tourist needs hierarchy,"
2023-12-30,7318233055850761473,7129426590244979717,penangfoodie,https://www.tiktok.com/@7129426590244979717/video/7318233055850761473,"The video shows food preparation on a street in Ipoh, Malaysia. It is tagged with digitalnomad to reach the audience, also tiktok used as an announcement.",#derantau #digitalnomad #malaysiadigitalnomad #ipoh,Penang Foodie,original sound - Penang Foodie,7210191781932190506,['Halal Thai Street Food In Ipoh 🔥'],CA-PC,Promotional Content for a local restaurant in Ipoh transforms a simple restaurant promotion into a cultural storytelling experience that resonates with digital nomads seeking authentic local experiences.,HE-CE,"The content focuses on culinary experiences, which is a fundamental aspect of experiencing local culture and satisfies the basic tourist need for food exploration. There is a risk of superficial engagement with local cultures through food. ",DR-CA,"The video showcases cultural authenticity through genuine street food preparation in Ipoh, demonstrating the real local culinary experience rather than a sanitized tourist version",DR-VC,"The visual storytelling aspect is evident in the detailed showcase of food preparation routines, making the content engaging and appealing to potential visitors",,,Tourist,Basic,"This content primarily addresses basic tourist needs while also touching on cultural immersion aspects. The use of DE Rantau-related hashtags connects it to the broader digital nomad ecosystem being developed in Malaysia. DE Rantau is a comprehensive Malaysian government initiative designed to establish Malaysia as ASEAN's premier DN destination, adressing safety worker need of DN."
2023-11-29,7307012431207779626,6930792850284905478,_thebellarose,https://www.tiktok.com/@6930792850284905478/video/7307012431207779626,"Female vlogger discusses how convenience is paramount to her, advocating for a lifestyle centered around ease and comfort. She specifically appreciates the local food store connected to her apartment, highlighting it as a prime example of the convenience she values highly in her daily life.",#livingabroad #expatsabroad #blackinbahrain #digitalnomad #conveniencestore,The Luxe Digital Nomad,original sound,7258347532266916613,"['REASON #5678 as to why I love living abroad. \n\n\n\n\n\n\n\n\n\n', 'Digital nomad \nRemote worker\nConvenient store \nExpat abroad\nBahrain life ']",LC-PF,"Directly reflects the v-logger's emphasis on a lifestyle centered around ease and comfort,
Highlights the digital nomad's desire for flexible  and affordable living arrangements",HE-CE,Risk of superficial engagement with local cultures through food. The content focuses on the local food store connected to her apartment and demonstrates how food and convenience intersect in digital nomad lifestyle,DR-CA,"Strategic use of hashtags (#digitalnomad, #expatsabroad) Leverages platform mechanisms to reach targeted audience",ET-IC,"Narrative reveals how the v-logger defines herself through her lifestyle choices
Demonstrates the process of creating a personal narrative as a digital nomad",,,Tourist,Basic,"The v-logger emphasizes convenience through her appreciation of a local food store connected to her apartment, which directly relates to the fundamental needs of food and housing. Her narrative highlights how proximity and ease of access to essential services are crucial for digital nomads and travelers.Social and Esteem need of Migrant, The hashtag #blackinbahrain suggests an attempt at community integration, which aligns with the Migrant's social need of integration."
2023-10-11,7288501957390748974,7237195162452149294,oliviatheaffiliate,https://www.tiktok.com/@7237195162452149294/video/7288501957390748974,"A female creator advertise her complimentary introductory guide to e-commerce, focusing on the sale of stickers and affiliate marketing strategies. She showcases the resource called Wild Oak Stickers who arguably made a turnover of $988.000 past year only on selling stickers.  She provides foundational knowledge to navigate the online marketplace such as Pininterest and Etsy  and create stickers on Printify and prompt to comment ""Ready"" if someone want to get her services and  insights into product selection, digital marketing techniques, and monetization through affiliate partnerships.  The description of the video has a structured GPT provided content with bullet points and a powerful statement ""I started 4 months ago as a complete beginner with no experience and no following && now I’m making $2-5k per WEEK!"". The sound of this video has been reused by a Tiktok Reviewer stitch debugging the idea of easy side hussle. The TikTok Stitch affordance is used as a reviewer tool here.",#jobsformoms #digitalnomad #passiveincome #workfromhome #workfromhomejobs #digitalmarketing #sidehustle #etsy,Making Money with Olivia,original sound,7240878373467293697,,CA-PC,"The content primarily focuses on income generation strategies, specifically through e-commerce and affiliate marketing. The creator highlights her remarkable financial achievement of $2-5k weekly, positioning the content within the CA-PC",DR-PSC,"The video exemplifies digital marketing techniques and platform-specific content strategies borrowed from Instagram, where the trend of engaging with potential customers through a code word is very prominent.",JN-PG,"The creator's personal transformation from ""complete beginner"" to successful entrepreneur represents JN-PG (Personal Growth), illustrating a compelling narrative of digital nomad empowerment with some narrative touches on self-Discovery.",,,,,Worker,Basic,"E-commerce and affiliated marketing are some of the prominent professions amoung digital nomads today, thus the content devoted to the enhancing this skilles falls under the basic need of income and safety need of distributing income streams."
2023-11-13,7301092316280884486,7246839389472130053,blackbirdpyn,https://www.tiktok.com/@7246839389472130053/video/7301092316280884486,"A v-log in Spanish with a humoristic touch exposing a dull concrete space with the view to the highway and a caption"" Greatful to be able to travel for work and discover placese lkike this"" ",#agradecido #conocerlugares #viajedetrabajo #toluca #digitalnomad #nomadadigital,ac,original sound,7035567360031460102,"['AGRADECIDO DE PODER VIAJAR POR TRABAJO Y CONOCER LUGARES COMO:', '✨TOLUCA✨']",DR-VS,The narrartive descorving discouraging dull place to work from,ET-PM,Absence of purpose and meaning,ET-PF,"The issue of personal freedom, being trapped in the concrete box overlooking the highway",,,,,Worker,Social,Social need: creative environment to perform work
2023-07-02,7329088611561835808,6755557734609290245,nanobytesinc,https://www.tiktok.com/@nanobytesinc/video/7251321037357419822,"A male v-logger is waking and talking, claiming he is a digital nomad and YouTuber, discussing strategies for optimizing one's travel packing. He focuses on practical tips for minimizing luggage, selecting versatile items, and employing packing techniques that enhance mobility and efficiency for individuals who blend work and travel. He shares insights on maintaining a streamlined and functional travel setup, catering to the needs of digital nomads





",#digitalnomad,lau,son original,7298370142995204870,['Je réagis 10 ans après…'],CA-PC,The mention of income strategies and content creation business blurs lines between genuine content and advertising,LC-PF,"The content embodies the digital nomad ethos of Personal & Spatial Freedom, showcasing how modern professionals can work from anywhere",JN-EP,The discussion of packing strategies and maintaining a streamlined travel setup indicates Episodic Progress ,TA-AC,Using template providing auto-generated captions for the speech in the post,DR-PSC,"Captions are considered a TikTok native feature, that simplify content consumption.",Worker,Safety,Software engineering as a high-income profession and YouTube content creation as an alternative income stream with the emphasis on location-independent work that emphasize baisc and safety needs such as stable and diverse  income 
2023-08-31,7273328100392357125,7201781960337949723,tatasoba,https://www.tiktok.com/@7201781960337949723/video/7273328100392357125,"A young female creator conducts a video guide in Thai exploring additional revenue streams ""on the go"" such as designing stickers for Etsy, delineates four diverse methods of generating income through printed materials.",#digitalnomad #business,Enzo is Burning,OUT NOW Enzo Smooth Operator,7120552235582393093,"For creative / fashion / artist / illustrator types (even better)
💡Side-hustle idea💡
Trick to earn extra income
30,000 - 100,000 baht / month
Sell products abroad
No need for a physical store
No need to stock inventory
Print/produce after receiving orders
Connect with backend systems of Etsy/Shopify/Squarespace
Easy to start, doesn't require a large investment
PRINTIFY.COM
What is it?
Produces over 850+ types of products
Prints our drawings/designs on products
Connects to backend systems
Handles ship",CA-PC,"Promotional Content: using afiliated Etsy links, employs popular sound with 412 K usage",TA-DI,"Platform specific content, usage of captions and hashtags for greater discoverability",DR-VS,Visual Storytelling explaining the tacticts behind the passive income generation,,,,,Worker,Safety,"The content is touching upon safety needs of  worker, diversifying the income and providing a turorial on multiple sources of such income."
2023-07-04,7251941711058930949,7093226458110149633,muhammedalard,https://www.tiktok.com/@7093226458110149633/video/7251941711058930949,"The narrative depicts an airplane journey culminating in an airport landing, accompanied by a reflective voiceover and captions suggesting that societal norms of 8h work day have conditioned us to accept these constraints unchallenged. It critiques the conventional life trajectory of working towards retirement, only to realize freedom in one's later years. The concluding message emphasizes the brevity of life, advocating for the accumulation of experiences and memories over material possessions, thereby encouraging a reevaluation of priorities towards more fulfilling and meaningful pursuits.",#livelife #workhardplayhard #digitalnomad #airasia,MUHAMMED ALARD,original sound,7055226884535928833,['Life life\nعيش حياتك'],DR-VS,The airplane ride visually narrates the journey,ET-PM,Purpose and Meaning: Discusses life purpose. May oversimplify complex philosophical concepts.,LC-PF,Personal & Spatial Freedom: Emphasizes freedom. Might ignore privileges that enable this lifestyle.,TA-RL,Relatability: Aims to be relatable. May oversimplify complex experiences for mass appeal.,,,Worker,Self-actualization,"The central narrative is self-actualization, related to notion ot pilgrimage with a strsong presence of need for work-life balance"
2023-07-27,7260623141766958379,6927389542850020358,virtuallatinos,https://www.tiktok.com/@6927389542850020358/video/7260623141766958379,"A female vlogger advertise in Spanish the possibility to work as virtual assistant, creatively involving a child  in a performance to sing a song. The v-log is a flashing picture sequence with the title I don't understand why they do not pay attantion, if it for their own good. ",#virtuallatinos #homeoffice #remotework #va #remotejobs #trabajoremoto #asistentevirtual #workfromanywhere #hiringnow #jobsearch #jobseekers #workfromhome #remote #job #jobs #digitalnomad,The Villaesters,original sound,6954440739359033346,[I told my friends to apply to VL so they could work remotely and earn dollars like me and they ignored me] [And it started to ring],ET-IC,The creator presents herself as a successful virtual assistant earning in dollars (which is a latin america's benchmark] constructing a digital nomad identity while using her role as a mother to enhance authenticity.,CA-PC,"The content is fundamentally promotional, advertising virtual assistant work opportunities. The revised description emphasizes the promotional aspect even more strongly through the direct call to friends to join the platform and earn in dollars",TA-RL,"With the added context of the captions, this code becomes more relevant than previously thought. The creator builds relatability by sharing a personal story of being ignored by friends despite offering them opportunities, creating a narrative that many might relate to in their entrepreneurial journey",TA-DI,"Bilingual hashtags and content as a key element, demonstrating clear intent to maximize content visibility across different language markets.",,,Worker,Basic,"The content demonstrates a clear focus on fundamental income-generating aspects through the direct promotion of virtual assistant work opportunities
The emphasis on earning in dollars, which suggests a focus on basic income needs, the extensive use of job-related hashtags (#remotework, #va, #remotejobs) indicates a primary concern with securing work and income."
2024-01-28,7329152254668246274,6719395568647685126,haterslovebru,https://www.tiktok.com/@6719395568647685126/video/7329152254668246274,"Announcements pertaining to remote employment opportunities, predominantly in administrative roles, chat support, and vacation planning (tourism agency), accompanied by an invitation to remain engaged for updates.",#remote #remotework #Remote #workfromhome #workfromhomejobs #digitalnomad #laptoplifestyle #jobs #jobsearch,JID,Surround Sound,7229502909632464897,,DR-PSC,"The content primarily focuses on Digital Representation of Platform-Specific Content (DR-PSC) related to remote work opportunities. The content appears to be aspirational, promoting the digital nomad lifestyle through remote work opportunities. This aligns well with the DR-PSC code, as it's tailored content for the platform's audience interested in remote work and digital nomadism. May perpetuate an idealized lifestyle.",CA-PC,"The post also has elements of Promotional Content (CA-PC), as it's advertising job opportunities and encouraging viewers to stay engaged for updates. Blurs lines between genuine content and advertising.",TA-DI,"The creator leverages Platform Affordances for Discoverability (TA-DI) through strategic use of hashtags like #remote, #remotework, and #digitalnomad. The content was shared 4k times, indicating growing engagement around it.",JN-BC,"The content appears to be aspirational, promoting the digital nomad lifestyle through remote work opportunities.",,,Worker,Basic,"The content adresses the basic need of worker, providing information about remote job opportunities."
2023-12-15,7312832352240028974,7148631020142068782,moeshaclayy,https://www.tiktok.com/@7148631020142068782/video/7312832352240028974,"The video outlines three accessible side hustles that are manageable for most individuals, highlighting that the creator either currently engages in or has previously undertaken these activities. This emphasis aims to lend credibility to the suggestions by demonstrating that the author has firsthand experience with the side hustles being recommended, suggesting their viability and potential for supplemental income. ",#digitalnomad #digitalproducts #2024sidehustles,Moesha Clay,original sound,7140416445183182849,"['3 EFFORTLESS SIDE HUSTLES for 2024. 💰', '1. Affiliate with Tiktok Shop as a Creator.', '2. Selling digital products ', '3. Print On Demand', 'ALLY BANK', 'FIDELITY ']",TA-AC,Accessibility: Includes accessibility features. Might be tokenistic rather than truly inclusive.,CA-TS,"The video exhibits strong Tourism and Commerce (CA-TC) elements through the promotion of TikTok Shop affiliation, while also featuring Promotional Content (CA-PC) with digital products and Print On Demand services.",CA-PC,"The creator's emphasis on genuine product engagement on TikTok shop reflects Commercialisation (CA-PC) of the content. While advocating for authentic engagement with products, the creator simultaneously promotes monetization strategies. The video navigates what TikTok calls ""perceived authenticity,"" where success depends on creating genuine connections while pursuing commercial interests.",,,,,Worker,Basic,"The video primarily addresses the Worker category of digital nomad relations, specifically focusing on the basic and safety needs levels"
2023-12-27,7317185664968133889,6782414525394502661,thewaqashassan,https://www.tiktok.com/@6782414525394502661/video/7317185664968133889,"A Pakistani vlogger explains to the camera the simplicity of obtaining an Azerbaijan visa within three days, emphasizing the lack of requirements for financial statements, flight bookings, or hotel confirmations. This information highlights the streamlined visa process for travelers from Pakistan to Azerbaijan, potentially facilitating easier travel planning and accessibility.",#VISA #digitalnomad #countries #AbroadStudy #smartwork #contentcreation #passiveincome #freelancing #world #waqashassn #studyabroad #digitalnomadvisa #Pakistan #india #Bangladesh #travel #traveltheworld #vacations #travelgoals #travelling #permanentresident #usatravel #usa #turkey #unitedstates,Waqas Hassan,original sound,7254245158559894298,"[Get Azerbaijan Visa just in three days], [32 country], [single e-visa], [Urgent e-visa], [financial statement], [flight booking], [hotel booking], [economical], [online business]",DR-PSC,"The video demonstrates strong Platform-Specific Content (DR-PSC) through its bilingual approach, mixing Pashto with English captions and using TikTok's visual text overlays to reach a broader but at the same time targeted audience of pashto speakers. This represents a shift from traditional monolingual communication to what researchers call ""hyperlingualism"" and ""idiolingualism"" in digital spaces.
",CA-PC,The content clearly falls under Promotional Content (CA-PC) given the significant follower count of 105.1K and the promotional nature of the visa information sharing.,TA-DI,"The video leverages Discoverability (TA-DI) through extensive use of strategic hashtags targeting digital nomads, travelers, and specific geographical regions.",JN-PG,"The content reflects Personal Growth (JN-PG) by sharing knowledge about visa processes, which aligns with the Worker and Migrant categories in our digital nomad hierarchy, specifically addressing basic needs (legal status) and safety needs (understanding local laws).",,,Worker,Basic,"The content primarily serves the Worker and Migrant aspects of digital nomad needs, focusing on practical aspects of international mobility while utilizing platform features for maximum reach and engagement. The content particularly addresses the basic and safety needs levels of both the Worker and Migrant hierarchies, providing practical information about legal entry requirements and visa processes."
2023-07-08,7253496420794273070,6765367498050274309,keekstravels,https://www.tiktok.com/@6765367498050274309/video/7253496420794273070,"A female creator is talking about Canada, launching digital nomad visa, in surge for the international tallent in tech-sphere. The progra is taylored for people to come and eventually stay permanently and the creator is asking if this country visa policy is an attractive option for a digital nomad?",#Canada #digitalnomad #visa #digitalnomadvisa #digitalnomadvisas #permanentresidency,kiera | slow traveler 🐌,original sound,7317759785869576965,Canada is launching a remote-work scheeme to lure digital nomads to the country,JN-PG, Discusses a professional opportunity to expand career horizons and potentially reshape life trajectory through international mobility,DR-PSC,Utilizing platform-specific storytelling techniques like green screen and duet interactions,TA-DI,Hashtags are chosen to cater for the visibility in the community of digital nomads,ET-PM,Content explores the purpose and meaning of the digital nomad visa policy by Canadian State ,,,Worker,Esteem,The government policy's intent of attracting skilled digital professionals reflects esteem need through the contribution to Canada's tech ecosystem.
2023-12-28,7317759756297440518,7108023718399493126,viviswanderlust,https://www.tiktok.com/@7108023718399493126/video/7317759756297440518,"An enthusiastic man exclaims, ""Yes, come on!"" while brandishing airplane tickets. The accompanying caption reveals that his partner has chosen to leave a corporate position, opting instead for a year of travel and remote work. This decision is framed as a proactive step to avoid future regrets at life's end, emphasizing the pursuit of fulfillment over conventional employment.",#travelcouple #girlswhotravel #traveling #digitalnomad #Meme #MemeCut,Vivi’s Wanderlust,original sound,7253496438494153514,[When your partner finally says yes to quiting our jobs and going traveling for 6 months because we only have one life and I don't wanna die with regrets],DR-PSC,Platform-Specific Content: The enthusiastic celebration and theatrical presentation using green screen and matching outfits idealizes the transition to digital nomad life,JN-TE,"This code is prominently featured as the video captures a pivotal life-changing moment of transitioning from corporate life to digital nomadism, representing a transformative decision point",ET-SD,The video's emphasis on avoiding end-of-life regrets and choosing fulfillment demonstrates a clear focus on self-discovery and life purpose exploration,DR-IE,The enthusiastic celebration and theatrical presentation using green screen and matching outfits idealizes the transition to digital nomad life,,,Worker,Self-actualization,"At the Worker level, it touches on need of self-actualization through the pursuit of work-life balance and meaningful work. In the Pilgrim dimension, it strongly resonates with the basic need of finding purpose in travel and the self-actualization aspect of achieving life goals."
2023-06-26,7249089421155388715,6797089160647459845,doseoftravel,https://www.tiktok.com/@6797089160647459845/video/7249089421155388715,"A female creator narrates her life journey while strolling through an urban setting, sharing that she has not utilized her doctorate degree, which took seven years to complete, and has shifted her career path three times. This narrative highlights a personal exploration of professional identity and the adaptability required to navigate changing career landscapes, reflecting on the value of diverse experiences over traditional academic achievements in her life's trajectory.",#relatable #fyp #traveltiktok #manifestation #growthmindset #growthtiktok #20s #digitalnomad #dreamlife #changeyourmindset,Victor Thompson,THIS YEAR (Blessings),7320830676711344901,"['I’m 29. I don’t use the doctorate degree I studied 7 years for. I pivoted careers 3 times. No house or kids rn. I’ve been traveling for a year. But, I’m living out my dreams and trying new things and that’s better than any societal timeline. ']",CA-PC,"Promotional Content: By weaving the brand seamlessly into this personal narrative, the content creates an emotional connection with viewers while subtly promoting the associated products or services. ",SY-RB,Depicts cultural rituals of young generation with a focus on individualism.,ET-IC,Deals with personal identity and promote a fluid concept of identity detached from cultural roots aligned with e concept of liquid modernity.,HE-CE,The content showcases  the importance of new cultural Experiences with a potential for cultural commodification.,JN-TE,The creator showcases the need of transformatiove experience and step of the mundain career line of education-work-retirement.,Worker,Self-actualization,The content caters for self-actualisation as a worker and social needs of pilgrim - connecting with like-minded individuals and personal transformation.
